Company,Revenue_M$,EBITDA_M$,EBITDA_Margin,Revenue_Growth_1yr,Revenue_CAGR_3yr,EBITDA_Growth_1yr,EBITDA_CAGR_3yr,Gross_Margin,Net_Margin,ROA,ROE,ROIC,Debt_M$,Equity_M$,Debt_to_EBITDA,Debt_to_Equity,Current_Ratio,Quick_Ratio,Interest_Coverage,Working_Capital_M$,Capex_to_Sales,Free_Cash_Flow_Margin,Asset_Turnover,Inventory_Turnover,DSO,DPO,DIO,Cash_Conversion_Cycle,Customer_Concentration,Employee_Count,Revenue_per_Employee,IRR_Y5
Company_00011,30.38,10.94,0.36,0.066,0.081,0.344,0.292,0.669,0.168,0.012,0.136,0.052,56.89,104.54,5.2,0.54,1.45,1.04,10.35,0.61,0.03,0.193,0.51,8.95,38.6,30.4,31.4,39.6,0.02,3140,9675.0,0.085
Company_00012,970.21,295.91,0.305,-0.087,0.219,0.132,0.073,0.284,0.222,0.177,0.123,0.224,473.46,2063.72,1.6,0.23,2.92,1.08,5.19,19.4,0.039,0.012,0.71,5.15,33.8,43.6,38.0,28.2,0.234,1612,601867.0,0.146
Company_00013,834.12,312.8,0.375,-0.046,0.235,0.272,0.171,0.42,0.03,0.041,0.157,0.099,378.49,1326.22,1.21,0.29,1.95,1.85,12.04,16.68,0.085,0.152,1.19,11.25,41.2,35.7,41.1,46.6,0.329,2198,379490.0,0.253
Company_00014,220.22,36.56,0.166,0.028,0.166,0.355,0.151,0.525,0.037,0.105,0.133,0.138,139.29,353.29,3.81,0.39,2.86,0.96,3.65,4.4,0.048,0.137,1.99,8.64,50.6,24.6,86.5,112.5,0.179,2859,77027.0,0.028
Company_00015,190.01,42.94,0.226,0.037,0.062,-0.102,-0.058,0.473,0.212,0.186,0.26,0.081,165.75,261.78,3.86,0.63,2.98,1.42,14.37,3.8,0.041,0.162,0.88,11.5,40.5,28.3,59.2,71.4,0.435,270,703741.0,0.155
Company_00016,191.57,10.54,0.055,0.26,0.196,0.057,0.199,0.439,0.114,0.166,0.195,0.186,51.96,103.8,4.93,0.5,2.02,0.9,3.62,3.83,0.062,0.173,0.81,7.75,57.7,67.3,45.8,36.2,0.227,4024,47607.0,0.053
Company_00017,311.2,16.18,0.052,0.197,-0.042,0.06,0.029,0.631,0.157,0.157,0.094,0.159,84.78,103.78,5.24,0.82,1.17,1.66,11.65,6.22,0.033,0.001,0.87,10.77,79.5,21.0,32.2,90.7,0.118,3367,92426.0,0.08
Company_00018,529.51,70.95,0.134,0.289,-0.019,0.013,0.22,0.233,0.239,0.125,0.109,0.123,287.35,324.61,4.05,0.89,2.62,1.98,7.16,10.59,0.069,0.098,1.69,8.01,79.5,30.1,63.1,112.5,0.479,903,586390.0,0.227
Company_00019,437.63,37.2,0.085,0.14,0.148,-0.195,0.143,0.483,0.182,0.093,0.063,0.157,195.3,397.19,5.25,0.49,2.22,1.96,10.24,8.75,0.013,-0.03,1.38,7.76,50.4,25.4,57.2,82.2,0.242,4696,93192.0,0.143
Company_00020,298.32,42.06,0.141,-0.003,0.037,0.29,0.027,0.357,0.245,0.095,0.125,0.084,105.15,145.81,2.5,0.72,1.15,0.68,6.09,5.97,0.041,-0.028,1.83,4.74,49.6,66.2,54.2,37.6,0.352,3490,85479.0,0.059
Company_00021,615.73,68.96,0.112,0.031,0.235,-0.133,0.043,0.251,0.137,0.027,0.217,0.205,128.27,433.77,1.86,0.3,1.98,1.72,3.56,12.31,0.054,0.122,0.41,8.0,74.7,62.7,44.5,56.5,0.013,1397,440752.0,0.113
Company_00022,148.1,8.89,0.06,0.028,0.081,0.397,0.193,0.479,0.1,0.022,0.096,0.103,58.59,80.48,6.59,0.73,2.32,1.47,14.19,2.96,0.058,0.099,1.55,4.63,54.9,28.5,81.6,108.0,0.419,3359,44091.0,0.045
Company_00023,299.22,110.11,0.368,0.031,0.079,0.264,0.12,0.303,0.086,0.17,0.075,0.173,356.76,1208.71,3.24,0.3,1.89,1.63,8.63,5.98,0.016,0.119,0.97,2.99,88.2,34.6,69.4,123.0,0.424,286,1046224.0,0.169
Company_00024,372.7,19.75,0.053,0.169,0.153,0.148,0.167,0.355,0.057,0.088,0.13,0.23,30.42,87.89,1.54,0.35,2.15,1.07,5.91,7.45,0.085,-0.049,1.71,4.67,56.7,28.7,93.1,121.1,0.214,2168,171910.0,0.14
Company_00025,461.51,142.15,0.308,0.112,0.18,-0.107,-0.037,0.504,0.03,0.02,0.203,0.058,847.21,549.34,5.96,1.54,2.87,1.02,10.12,9.23,0.045,-0.027,0.62,11.08,44.6,59.2,46.4,31.8,0.313,2475,186469.0,0.056
Company_00026,787.32,81.09,0.103,0.054,0.093,0.109,0.215,0.784,0.035,0.136,0.168,0.128,379.5,463.77,4.68,0.82,1.28,1.15,5.35,15.75,0.05,-0.026,0.44,6.75,30.6,50.8,63.3,43.1,0.372,611,1288576.0,0.109
Company_00027,207.68,76.63,0.369,-0.04,0.014,-0.043,0.028,0.611,0.096,0.14,0.133,0.077,348.67,406.58,4.55,0.86,1.97,2.0,2.53,4.15,0.096,0.003,1.53,2.49,87.2,35.1,30.3,82.4,0.488,3840,54083.0,0.019
Company_00028,519.09,187.91,0.362,-0.091,0.182,-0.049,0.148,0.368,0.098,0.053,0.271,0.232,338.24,1737.83,1.8,0.19,1.02,0.74,12.32,10.38,0.074,0.074,0.66,9.68,37.1,69.8,86.0,53.3,0.02,947,548141.0,0.242
Company_00029,596.49,166.42,0.279,-0.012,0.046,0.298,-0.054,0.429,0.127,0.088,0.167,0.122,921.97,855.23,5.54,1.08,1.87,1.88,14.95,11.93,0.073,0.096,1.08,2.75,40.5,42.1,54.8,53.2,0.434,2504,238215.0,0.183
Company_00030,55.99,15.96,0.285,-0.057,0.003,0.028,0.029,0.444,0.186,0.119,0.164,0.093,35.43,137.51,2.22,0.26,1.41,1.31,14.43,1.12,0.06,0.084,0.62,5.06,32.3,64.1,92.0,60.2,0.128,3687,15186.0,0.299
Company_00031,611.47,31.8,0.052,0.214,0.139,0.07,0.16,0.292,0.233,0.123,0.058,0.185,39.75,283.15,1.25,0.14,1.45,1.49,13.44,12.23,0.096,0.042,1.38,6.34,57.9,29.0,83.7,112.6,0.027,3531,173172.0,0.26
Company_00032,178.82,70.63,0.395,-0.055,-0.023,0.306,0.01,0.296,0.075,0.107,0.21,0.159,139.14,723.98,1.97,0.19,1.46,0.63,11.72,3.58,0.099,0.082,1.17,7.84,54.5,28.7,94.5,120.3,0.15,1297,137872.0,0.183
Company_00033,74.4,26.56,0.357,0.19,0.241,-0.147,0.252,0.289,0.233,0.079,0.165,0.213,138.11,223.92,5.2,0.62,2.52,1.74,4.11,1.49,0.042,0.055,1.18,10.07,78.9,61.6,69.9,87.2,0.479,2006,37089.0,0.163
Company_00034,949.4,344.63,0.363,0.054,0.14,0.157,0.164,0.513,0.059,0.023,0.086,0.201,1981.62,3890.48,5.75,0.51,2.02,0.63,4.03,18.99,0.063,0.123,1.47,3.08,63.3,31.4,70.7,102.6,0.399,4456,213061.0,0.042
Company_00035,965.98,271.44,0.281,-0.071,0.246,0.147,0.248,0.605,0.297,0.014,0.111,0.245,673.17,2505.08,2.48,0.27,1.76,1.53,3.95,19.32,0.012,0.168,0.28,2.42,64.9,26.3,28.1,66.7,0.388,1782,542076.0,0.114
Company_00036,810.31,138.56,0.171,0.225,0.052,0.055,0.058,0.554,0.1,0.097,0.101,0.068,400.44,718.02,2.89,0.56,1.0,1.45,7.97,16.21,0.08,0.088,0.26,5.35,77.4,65.4,21.7,33.7,0.138,2190,370005.0,0.294
Company_00037,311.57,113.1,0.363,0.132,0.241,0.298,-0.086,0.787,0.254,0.049,0.081,0.066,223.94,1295.99,1.98,0.17,2.67,1.98,8.19,6.23,0.089,0.109,0.38,8.14,65.0,59.5,38.1,43.6,0.377,3960,78679.0,0.266
Company_00038,106.7,16.22,0.152,-0.006,-0.006,0.366,0.13,0.276,0.073,0.188,0.159,0.231,60.34,76.39,3.72,0.79,1.0,1.81,9.51,2.13,0.061,0.147,1.01,4.66,63.9,30.3,24.8,58.4,0.175,3057,34904.0,0.062
Company_00039,687.39,169.79,0.247,0.258,-0.038,0.079,0.036,0.792,0.286,0.132,0.141,0.241,393.91,793.59,2.32,0.5,2.62,1.08,4.95,13.75,0.025,0.145,0.82,4.57,85.7,68.2,92.9,110.4,0.343,711,966793.0,0.211
Company_00040,445.75,37.89,0.085,-0.082,-0.04,0.074,0.079,0.48,0.251,0.121,0.14,0.131,261.44,366.8,6.9,0.71,2.45,1.86,2.52,8.91,0.047,0.156,0.68,7.05,56.2,46.8,49.2,58.6,0.131,4188,106435.0,-0.2
Company_00041,130.82,48.8,0.373,-0.019,0.089,0.101,0.172,0.331,0.121,0.087,0.113,0.141,273.28,374.35,5.6,0.73,1.24,0.62,3.31,2.62,0.067,0.02,1.79,6.74,68.1,39.2,34.1,63.0,0.061,2486,52623.0,0.014
Company_00042,500.23,49.52,0.099,0.201,-0.025,0.234,0.18,0.766,0.138,0.073,0.159,0.124,226.8,219.88,4.58,1.03,2.24,0.91,2.9,10.0,0.088,0.007,1.8,5.24,53.1,27.2,53.1,79.0,0.079,1909,262038.0,-0.031
Company_00043,44.04,5.68,0.129,0.184,0.104,0.201,-0.089,0.481,0.021,0.044,0.187,0.206,30.27,22.86,5.33,1.32,1.02,1.9,12.31,0.88,0.067,0.148,0.62,4.97,69.0,51.2,56.7,74.5,0.042,3638,12106.0,0.106
Company_00044,910.23,223.01,0.245,0.016,0.048,-0.066,0.208,0.408,0.09,0.021,0.203,0.204,446.02,1009.02,2.0,0.44,1.45,1.3,3.75,18.2,0.075,0.136,1.68,5.67,30.6,42.4,39.1,27.3,0.376,3176,286596.0,0.048
Company_00045,266.19,84.38,0.317,-0.075,0.051,-0.162,0.097,0.328,0.101,0.131,0.105,0.094,460.71,956.72,5.46,0.48,1.48,0.96,11.76,5.32,0.056,-0.007,1.1,11.18,73.6,28.0,83.3,128.9,0.362,727,366149.0,0.091
Company_00046,665.9,177.8,0.267,0.243,0.141,0.37,0.123,0.361,0.147,0.158,0.232,0.127,547.62,1471.89,3.08,0.37,2.96,0.78,3.39,13.32,0.057,-0.01,1.69,9.43,76.9,40.8,28.7,64.8,0.382,3562,186946.0,0.206
Company_00047,318.59,41.74,0.131,0.025,-0.001,-0.043,0.019,0.788,0.059,0.173,0.057,0.092,159.45,399.14,3.82,0.4,2.14,1.11,8.45,6.37,0.029,-0.025,0.75,5.9,82.6,36.0,85.8,132.4,0.132,1317,241906.0,0.1
Company_00048,524.87,26.24,0.05,-0.022,0.18,0.183,0.068,0.382,0.154,0.148,0.238,0.059,165.57,108.95,6.31,1.52,1.02,1.89,5.74,10.5,0.05,0.019,1.0,2.45,60.0,69.0,92.8,83.8,0.467,598,877709.0,-0.2
Company_00049,551.24,173.64,0.315,0.106,0.125,0.297,0.184,0.787,0.207,0.18,0.121,0.061,1158.18,1113.67,6.67,1.04,1.26,1.9,10.47,11.02,0.052,0.127,0.55,5.04,47.2,34.5,31.6,44.3,0.368,4705,117160.0,0.087
Company_00050,193.01,76.24,0.395,0.264,0.224,-0.02,0.211,0.398,0.124,0.197,0.143,0.079,427.71,610.88,5.61,0.7,1.38,1.43,3.9,3.86,0.015,0.167,1.91,2.53,73.8,29.7,20.5,64.6,0.285,1910,101052.0,0.162
Company_00051,969.89,322.97,0.333,-0.083,0.059,0.181,0.055,0.339,0.085,0.193,0.195,0.056,1811.86,2450.62,5.61,0.74,2.64,0.63,9.65,19.4,0.085,0.199,0.8,5.46,86.9,69.0,68.7,86.6,0.249,4345,223220.0,-0.126
Company_00052,777.38,164.03,0.211,0.206,0.245,-0.135,0.176,0.31,0.173,0.123,0.203,0.135,897.24,1042.12,5.47,0.86,2.36,1.14,9.43,15.55,0.066,0.163,0.89,10.49,76.2,31.1,63.2,108.3,0.365,4678,166178.0,0.119
Company_00053,940.1,344.08,0.366,0.129,0.123,0.382,0.003,0.447,0.028,0.053,0.155,0.063,1637.82,1328.81,4.76,1.23,1.97,1.34,7.24,18.8,0.016,0.195,1.36,2.57,84.7,45.5,54.8,94.0,0.349,3209,292957.0,0.147
Company_00054,895.88,172.9,0.193,0.07,0.242,-0.165,0.233,0.342,0.115,0.03,0.284,0.219,375.19,1581.32,2.17,0.24,2.62,1.61,8.27,17.92,0.092,-0.013,0.47,4.98,37.2,68.7,50.9,19.4,0.065,1715,522379.0,0.152
Company_00055,601.92,140.85,0.234,0.198,-0.042,0.063,0.144,0.618,0.168,0.199,0.265,0.192,638.05,1180.52,4.53,0.54,1.95,1.87,3.91,12.04,0.063,0.042,0.28,2.61,85.5,25.2,54.8,115.1,0.377,3487,172618.0,0.028
Company_00056,922.66,200.22,0.217,0.286,0.168,0.122,0.21,0.344,0.114,0.069,0.106,0.207,268.29,1358.38,1.34,0.2,2.63,1.99,12.54,18.45,0.046,0.001,1.05,5.46,72.6,28.3,36.3,80.6,0.399,2269,406637.0,0.446
Company_00057,97.61,20.21,0.207,-0.008,0.195,0.274,0.091,0.701,0.117,0.016,0.197,0.173,23.85,229.25,1.18,0.1,1.44,1.12,9.86,1.95,0.025,0.021,0.93,5.88,79.3,54.6,52.5,77.2,0.284,2267,43057.0,0.143
Company_00058,204.02,65.49,0.321,-0.043,-0.034,-0.127,-0.008,0.7,0.258,0.084,0.23,0.183,394.9,642.09,6.03,0.62,2.86,1.83,3.55,4.08,0.038,-0.023,1.68,7.17,55.3,60.5,93.0,87.8,0.318,1462,139549.0,0.085
Company_00059,54.78,12.82,0.234,0.265,0.124,0.064,0.072,0.371,0.282,0.152,0.104,0.073,54.36,80.55,4.24,0.67,2.91,1.74,13.93,1.1,0.048,0.166,0.29,7.68,64.2,36.9,40.8,68.1,0.369,2989,18327.0,0.217
Company_00060,332.08,53.46,0.161,0.168,0.191,-0.02,0.053,0.652,0.252,0.179,0.055,0.062,58.81,185.78,1.1,0.32,2.28,1.38,10.09,6.64,0.064,-0.036,0.3,8.77,66.8,56.6,87.3,97.5,0.425,1935,171618.0,0.32
Company_00061,394.79,55.27,0.14,0.075,0.118,-0.013,0.033,0.715,0.048,0.101,0.294,0.248,145.91,563.95,2.64,0.26,2.27,1.35,4.24,7.9,0.093,0.056,1.48,7.81,61.1,52.3,31.5,40.3,0.207,1398,282396.0,0.136
Company_00062,278.64,17.55,0.063,0.129,-0.031,0.267,-0.015,0.554,0.101,0.066,0.29,0.125,89.5,122.17,5.1,0.73,2.13,1.97,4.91,5.57,0.012,-0.02,1.4,4.88,35.8,28.9,62.0,68.9,0.087,4545,61307.0,0.048
Company_00063,830.45,210.93,0.254,0.198,0.158,-0.197,0.204,0.42,0.219,0.158,0.13,0.06,1400.58,1529.26,6.64,0.92,1.87,1.06,4.65,16.61,0.04,0.063,0.71,4.42,43.9,31.7,82.4,94.6,0.114,71,11696479.0,0.132
Company_00064,363.19,47.21,0.13,0.209,-0.032,0.249,-0.065,0.465,0.293,0.106,0.11,0.082,286.09,391.19,6.06,0.73,1.36,1.16,4.93,7.26,0.034,0.016,0.6,2.12,38.4,69.3,36.9,6.0,0.083,2655,136795.0,-0.011
Company_00065,288.13,29.39,0.102,0.268,0.195,0.286,0.255,0.672,0.088,0.026,0.089,0.225,107.86,262.87,3.67,0.41,1.39,1.25,4.73,5.76,0.083,0.118,1.21,8.28,79.7,50.0,60.1,89.8,0.2,1138,253190.0,0.226
Company_00066,547.27,152.69,0.279,0.071,-0.037,0.341,-0.03,0.376,0.271,0.179,0.222,0.091,413.79,1294.47,2.71,0.32,2.3,1.58,11.7,10.95,0.05,0.176,1.32,10.57,52.4,56.1,79.2,75.5,0.353,3163,173022.0,0.178
Company_00067,149.51,43.06,0.288,0.017,-0.009,0.176,0.292,0.401,0.227,0.135,0.239,0.143,123.15,238.22,2.86,0.52,1.93,1.29,9.69,2.99,0.071,-0.025,1.73,4.97,47.3,20.0,34.1,61.4,0.294,2761,54151.0,0.242
Company_00068,804.18,251.71,0.313,0.156,0.033,0.0,0.295,0.296,0.295,0.017,0.155,0.183,1359.23,1158.15,5.4,1.17,1.45,1.4,5.03,16.08,0.07,-0.043,0.85,10.57,43.1,45.6,71.9,69.4,0.377,1155,696260.0,0.135
Company_00069,83.81,18.94,0.226,0.066,0.14,0.056,0.059,0.439,0.046,0.012,0.111,0.243,110.42,61.6,5.83,1.79,1.18,1.07,14.12,1.68,0.014,0.067,0.53,7.88,72.1,47.2,62.7,87.6,0.232,790,106089.0,0.192
Company_00070,987.02,358.29,0.363,0.138,0.243,0.382,0.295,0.252,0.131,0.027,0.162,0.053,1142.95,1117.0,3.19,1.02,2.92,0.59,2.15,19.74,0.038,-0.033,0.33,8.99,61.2,34.9,40.3,66.6,0.189,1362,724684.0,0.18
Company_00071,774.52,292.77,0.378,0.068,-0.015,0.329,0.248,0.393,0.154,0.166,0.179,0.148,1387.73,3220.38,4.74,0.43,2.38,1.41,10.91,15.49,0.092,-0.015,0.8,9.56,65.5,48.4,36.4,53.5,0.048,2157,359073.0,0.205
Company_00072,206.73,68.84,0.333,-0.039,-0.007,0.078,-0.067,0.424,0.208,0.101,0.186,0.249,376.55,822.7,5.47,0.46,1.38,1.43,9.06,4.13,0.076,0.116,0.8,10.18,75.4,42.9,99.7,132.2,0.364,3316,62343.0,0.145
Company_00073,15.47,4.21,0.272,0.088,0.061,0.366,0.279,0.353,0.203,0.074,0.161,0.074,25.55,26.18,6.07,0.98,2.5,0.96,8.91,0.31,0.092,0.143,1.95,4.29,88.2,51.5,57.9,94.6,0.209,4298,3599.0,0.012
Company_00074,817.31,127.5,0.156,0.176,0.201,0.294,-0.083,0.261,0.274,0.057,0.051,0.075,618.38,626.94,4.85,0.99,1.34,1.43,9.17,16.35,0.063,0.063,0.68,4.81,74.5,49.0,81.9,107.4,0.045,3521,232124.0,0.041
Company_00075,709.79,279.66,0.394,0.22,0.09,0.341,-0.027,0.513,0.255,0.106,0.168,0.067,1731.1,1844.13,6.19,0.94,2.18,1.43,8.33,14.2,0.07,0.109,1.81,9.07,88.3,23.6,75.0,139.7,0.016,1343,528511.0,0.191
Company_00076,731.72,106.83,0.146,0.097,0.046,0.21,0.134,0.719,0.036,0.026,0.137,0.152,287.37,419.76,2.69,0.68,2.13,1.04,14.3,14.63,0.094,0.178,1.7,3.56,71.9,62.5,64.2,73.6,0.19,2238,326953.0,0.247
Company_00077,773.56,93.6,0.121,-0.034,0.118,0.315,-0.068,0.401,0.156,0.127,0.189,0.12,485.78,811.27,5.19,0.6,1.22,1.6,10.04,15.47,0.083,0.069,1.33,11.35,70.6,29.5,97.7,138.8,0.495,3889,198910.0,0.023
Company_00078,83.3,17.08,0.205,0.066,0.028,0.335,-0.035,0.342,0.134,0.082,0.067,0.193,58.24,85.83,3.41,0.68,2.33,1.38,7.97,1.67,0.038,0.197,0.52,6.21,38.7,36.1,31.0,33.6,0.087,1984,41986.0,0.182
Company_00079,364.88,25.54,0.07,0.215,0.07,-0.145,0.281,0.371,0.299,0.173,0.27,0.164,167.8,149.58,6.57,1.12,2.11,0.65,13.18,7.3,0.064,-0.042,0.32,7.13,35.6,54.0,94.9,76.5,0.212,2690,135643.0,0.144
Company_00080,124.71,48.89,0.392,0.065,0.05,0.379,0.298,0.717,0.14,0.153,0.269,0.166,112.94,523.08,2.31,0.22,2.6,1.2,13.57,2.49,0.014,-0.006,0.37,4.39,31.4,59.0,65.9,38.3,0.206,3688,33815.0,0.337
Company_00081,864.47,221.3,0.256,0.179,0.191,0.0,0.219,0.517,0.211,0.013,0.191,0.152,1265.84,1797.37,5.72,0.7,2.82,1.82,12.07,17.29,0.091,0.025,0.2,2.81,71.6,20.4,99.2,150.4,0.379,4751,181955.0,0.19
Company_00082,627.07,153.63,0.245,0.103,0.227,0.064,0.106,0.278,0.1,0.042,0.234,0.248,1012.42,647.3,6.59,1.56,2.41,1.65,9.46,12.54,0.089,0.115,1.49,4.79,68.9,33.3,48.7,84.3,0.09,2680,233981.0,0.198
Company_00083,337.59,94.53,0.28,-0.004,0.178,0.275,0.26,0.626,0.192,0.1,0.159,0.158,481.16,364.86,5.09,1.32,1.61,0.71,2.56,6.75,0.034,-0.027,0.95,10.91,67.9,58.3,29.3,38.9,0.485,4622,73040.0,0.022
Company_00084,72.92,16.33,0.224,0.218,0.082,0.199,-0.055,0.293,0.078,0.135,0.198,0.064,93.57,145.14,5.73,0.64,1.65,1.93,13.83,1.46,0.032,0.101,1.69,8.39,67.5,53.6,37.7,51.6,0.101,2549,28607.0,0.124
Company_00085,317.87,19.39,0.061,-0.066,0.101,0.336,0.277,0.236,0.189,0.146,0.204,0.114,122.54,86.56,6.32,1.42,1.62,0.88,12.63,6.36,0.071,0.07,1.02,6.88,71.3,51.2,50.1,70.2,0.371,3535,89921.0,-0.117
Company_00086,331.93,87.63,0.264,0.11,-0.012,0.04,0.041,0.353,0.263,0.165,0.138,0.206,250.62,418.1,2.86,0.6,2.73,1.02,14.14,6.64,0.01,-0.02,1.63,2.4,80.1,62.6,81.7,99.2,0.333,3204,103599.0,0.316
Company_00087,732.31,220.43,0.301,-0.016,0.174,0.024,0.245,0.301,0.025,0.019,0.29,0.176,385.75,1855.16,1.75,0.21,1.97,0.81,3.75,14.65,0.047,0.122,1.46,4.28,73.6,23.9,38.5,88.2,0.346,3055,239709.0,0.156
Company_00088,641.18,125.67,0.196,-0.073,0.129,-0.181,0.167,0.563,0.161,0.014,0.201,0.187,831.94,1406.9,6.62,0.59,2.92,1.59,14.49,12.82,0.037,0.049,0.57,3.87,66.0,50.4,95.2,110.8,0.362,4869,131686.0,0.016
Company_00089,888.34,279.83,0.315,0.101,0.221,0.078,0.284,0.491,0.295,0.124,0.298,0.234,344.19,2203.04,1.23,0.16,2.31,1.34,14.55,17.77,0.016,0.166,0.61,3.73,43.1,59.1,50.1,34.1,0.194,1473,603082.0,0.37
Company_00090,477.49,61.6,0.129,0.1,0.01,0.234,0.246,0.634,0.065,0.148,0.158,0.139,240.86,444.43,3.91,0.54,2.21,1.36,7.89,9.55,0.037,-0.036,0.28,11.15,76.0,30.2,67.3,113.1,0.401,3321,143779.0,0.086
Company_00091,128.4,16.31,0.127,0.183,0.178,-0.019,0.255,0.507,0.071,0.159,0.058,0.054,47.79,174.97,2.93,0.27,2.8,1.54,2.97,2.57,0.04,-0.012,1.18,8.5,45.0,68.0,26.0,3.0,0.032,4783,26845.0,0.059
Company_00092,716.11,75.91,0.106,0.198,0.155,0.078,0.153,0.451,0.152,0.04,0.126,0.248,328.69,428.25,4.33,0.77,2.18,1.38,10.08,14.32,0.084,0.084,0.97,10.4,70.8,44.6,62.8,89.0,0.338,509,1406896.0,0.134
Company_00093,763.18,137.37,0.18,0.191,0.03,-0.068,0.233,0.516,0.264,0.194,0.213,0.141,953.35,454.86,6.94,2.1,2.65,1.01,10.14,15.26,0.083,0.175,1.79,3.26,38.1,48.9,81.4,70.6,0.162,754,1012175.0,0.06
Company_00094,565.66,195.72,0.346,0.064,0.15,0.264,0.203,0.461,0.178,0.054,0.278,0.07,248.56,1569.52,1.27,0.16,2.0,1.89,8.9,11.31,0.088,0.174,0.29,2.31,60.6,54.0,71.9,78.5,0.01,4781,118314.0,0.195
Company_00095,773.26,262.91,0.34,0.153,0.227,-0.164,-0.035,0.222,0.162,0.058,0.204,0.16,1477.55,1100.82,5.62,1.34,2.2,1.37,6.27,15.47,0.021,-0.037,2.0,7.5,68.0,23.5,73.2,117.7,0.393,3744,206533.0,0.095
Company_00096,498.86,91.79,0.184,0.131,0.226,0.223,0.159,0.608,0.044,0.039,0.168,0.168,105.56,325.42,1.15,0.32,1.52,1.59,2.93,9.98,0.028,0.002,1.43,5.63,78.9,20.8,67.1,125.2,0.351,3916,127390.0,0.18
Company_00097,527.51,135.04,0.256,0.069,0.166,0.027,-0.041,0.777,0.289,0.018,0.07,0.163,347.05,523.06,2.57,0.66,2.75,0.73,9.31,10.55,0.025,0.144,1.73,2.23,72.2,25.5,99.6,146.3,0.369,2918,180778.0,0.197
Company_00098,433.27,130.85,0.302,0.139,-0.036,-0.175,0.248,0.453,0.117,0.164,0.086,0.243,684.35,522.48,5.23,1.31,1.56,1.04,6.08,8.67,0.065,0.027,0.62,7.15,78.4,40.9,52.0,89.5,0.069,3587,120789.0,0.163
